IndexSymbol,SessionDate,Time_ET,Time_Display,Pin_Strike,Spot_Price,Distance_Points,Distance_Pct,Pull_Strength,Total_GEX_Billions,Net_GEX_Billions,Pin_Drift_Per_Hour,Spot_Range_Pct_Est,Data_Source
NDX,2025-12-17,2025-12-17 10:00:00,10:00 AM ET,25100.0,25089.74425490284,10.255745097161707,0.04087624406596975,0.04087624406596975,75.78980673069032,75.78980673069032,0.0,0.0817524881319395,Real
NDX,2025-12-17,2025-12-17 10:15:00,10:15 AM ET,25070.0,25080.21780113843,-10.217801138431241,-0.04074048008453674,0.04074048008453674,90.77735955109198,90.77735955109198,-120.0,0.08148096016907348,Real
NDX,2025-12-17,2025-12-17 10:30:00,10:30 AM ET,24900.0,24923.69834797142,-23.698347971421754,-0.0950835932956579,0.0950835932956579,5.125198676057617,5.125198676057617,-680.0,0.1901671865913158,Real
NDX,2025-12-17,2025-12-17 10:45:00,10:45 AM ET,24900.0,24889.22491165363,10.775088346370467,0.04329218119333783,0.04329218119333783,41.679246130067604,41.679246130067604,0.0,0.08658436238667566,Real
NDX,2025-12-17,2025-12-17 11:00:00,11:00 AM ET,24820.0,24840.90222068662,-20.90222068662115,-0.08414437004310786,0.08414437004310786,0.3021165489320817,0.3021165489320817,-320.0,0.16828874008621572,Real
NDX,2025-12-17,2025-12-17 11:15:00,11:15 AM ET,24800.0,24792.27466101119,7.725338988810108,0.03116026703656654,0.03116026703656654,14.408058018378162,14.408058018378162,-80.0,0.06232053407313308,Real
NDX,2025-12-17,2025-12-17 11:30:00,11:30 AM ET,24800.0,24803.35193755934,-3.351937559338694,-0.013514050712891372,0.013514050712891372,18.133321930798985,18.133321930798985,0.0,0.027028101425782745,Real
NDX,2025-12-17,2025-12-17 11:45:00,11:45 AM ET,24800.0,24818.26665427413,-18.266654274131724,-0.0736016520758346,0.0736016520758346,3.927164134048851,3.927164134048851,0.0,0.1472033041516692,Real
NDX,2025-12-17,2025-12-17 12:00:00,12:00 PM ET,24800.0,24799.83104008785,0.1689599121491483,0.0006812946099351723,0.0006812946099351723,19.124941708295736,19.124941708295736,0.0,0.0013625892198703446,Real
NDX,2025-12-17,2025-12-17 12:15:00,12:15 PM ET,24800.0,24768.70104786447,31.29895213553027,0.12636493159268372,0.12636493159268372,0.1817191064555987,0.1817191064555987,0.0,0.25272986318536744,Real
NDX,2025-12-17,2025-12-17 12:30:00,12:30 PM ET,24800.0,24817.04785850211,-17.047858502108284,-0.06869414363589517,0.06869414363589517,4.8165552692804345,4.8165552692804345,0.0,0.13738828727179034,Real
