timestamp,open,high,low,close,volume,vix_close,SMA_5,SMA_10,SMA_20,EMA_5,EMA_10,Typical_Price,PV,VWAP,AMA,RSI,MACD,Signal_Line,BB_Middle,BB_Upper,BB_Lower,Momentum,ROC,Volume_SMA,Volume_Ratio,next_close,index_name,predicted_price,confidence,prediction_date
2025-09-18 05:00:00,6626.85,6656.8,6611.89,6631.96,1,15.700000000000001,6631.96,6631.96,6631.96,6631.96,6631.96,6633.55,6633.55,6633.55,6664.509090909091,0.0,0.0,0.0,6631.96,6815.753847622301,6448.166152377699,0.0,0.0,1.0,1.0,6664.360000000001,S&P 500 (SPX),6734.611379678408,88.80292106580377,2025-12-17 17:31:20
2025-09-19 05:00:00,6647.110000000001,6671.82,6630.31,6664.360000000001,1,15.450000000000001,6648.16,6648.16,6648.16,6642.76,6637.850909090909,6655.496666666667,6655.496666666667,6644.5233333333335,6664.509090909091,99.99938271985975,2.5846153846159723,0.5169230769231945,6648.16,6693.980519420889,6602.33948057911,0.0,0.0,1.0,1.0,6693.75,S&P 500 (SPX),6734.611379678408,88.80292106580377,2025-12-17 17:31:20
2025-09-22 05:00:00,6654.28,6698.88,6648.07,6693.75,1,16.1,6663.356666666667,6663.356666666667,6663.356666666667,6659.756666666667,6648.0143801652885,6680.233333333334,6680.233333333334,6656.426666666666,6664.509090909091,99.99951448690166,6.9246460661852325,1.798467674775602,6663.356666666667,6725.171099716994,6601.542233616339,0.0,0.0,1.0,1.0,6656.92,S&P 500 (SPX),6734.611379678408,88.80292106580377,2025-12-17 17:31:20
2025-09-23 05:00:00,6692.4400000000005,6699.52,6645.58,6656.92,1,16.64,6661.7475,6661.7475,6661.7475,6658.811111111112,6649.6335837716,6667.34,6667.34,6659.155,6664.509090909091,62.654633948489185,7.308035961247697,2.9003813320700216,6661.7475,6712.627556014121,6610.86744398588,0.0,0.0,1.0,1.0,6637.97,S&P 500 (SPX),6734.611379678408,88.80292106580377,2025-12-17 17:31:20
2025-09-24 05:00:00,6669.79,6672.66,6621.76,6637.97,1,16.18,6656.992,6656.992,6656.992,6651.864074074076,6647.512932176764,6644.13,6644.13,6656.15,6664.509090909091,52.55592413030545,6.013449286880132,3.522994923032044,6656.992,6705.91929994594,6608.06470005406,0.0,0.0,1.0,1.0,6604.72,S&P 500 (SPX),6734.611379678408,88.80292106580377,2025-12-17 17:31:20
2025-09-25 05:00:00,6608.1900000000005,6619.0,6569.22,6604.72,1,16.740000000000002,6651.544,6648.28,6648.28,6636.14938271605,6639.732399053715,6597.646666666667,6597.646666666667,6646.399444444444,6664.509090909091,40.96936745789689,2.278220988879184,3.274040136201472,6648.28,6709.408382932971,6587.151617067028,0.0,0.0,1.0,1.0,6643.7,S&P 500 (SPX),6734.611379678408,88.80292106580377,2025-12-17 17:31:20
2025-09-26 05:00:00,6615.38,6648.97,6604.43,6643.7,1,15.290000000000001,6647.411999999999,6647.625714285715,6647.625714285715,6638.666255144034,6640.453781043949,6632.366666666668,6632.366666666668,6644.394761904762,6664.509090909091,53.09272918861956,2.4353131088055306,3.106294730722284,6647.625714285715,6703.53533642376,6591.71609214767,0.0,0.0,1.0,1.0,6661.21,S&P 500 (SPX),6734.611379678408,88.80292106580377,2025-12-17 17:31:20
2025-09-29 05:00:00,6661.58,6677.31,6644.49,6661.21,1,16.12,6640.904,6649.3237500000005,6649.3237500000005,6646.180836762689,6644.227639035958,6661.003333333333,6661.003333333333,6646.470833333334,6664.509090909091,57.0546524528484,3.927447241410846,3.2705252328599967,6649.3237500000005,6701.969710298149,6596.677789701852,0.0,0.0,1.0,1.0,6688.46,S&P 500 (SPX),6734.611379678408,88.80292106580377,2025-12-17 17:31:20
2025-09-30 05:00:00,6656.1900000000005,6691.25,6641.0,6688.46,1,16.28,6647.2119999999995,6653.672222222222,6653.672222222222,6660.273891175127,6652.269886483966,6673.57,6673.57,6649.481851851852,6664.509090909091,62.04382673942704,7.225530140272895,4.061526214342576,6653.672222222222,6709.402636519783,6597.941807924662,0.0,0.0,1.0,1.0,6711.2,S&P 500 (SPX),6734.611379678408,88.80292106580377,2025-12-17 17:31:20
2025-10-01 05:00:00,6664.92,6718.4800000000005,6656.2,6711.2,1,16.29,6661.858,6659.425,6659.425,6677.249260783418,6662.98445257779,6695.293333333334,6695.293333333334,6654.063,6664.509090909091,65.39836766420521,11.541173093623911,5.557455590198844,6659.425,6723.335558508661,6595.514441491339,0.0,0.0,1.0,1.0,6715.35,S&P 500 (SPX),6734.611379678408,88.80292106580377,2025-12-17 17:31:20
2025-10-02 05:00:00,6731.31,6731.9400000000005,6693.2300000000005,6715.35,1,16.63,6683.9839999999995,6667.764,6664.509090909091,6689.949507188946,6672.505461200009,6713.506666666668,6713.506666666668,6659.46696969697,6664.509090909091,65.94759992350362,15.12190562865726,7.470345597890527,6664.509090909091,6733.887867753049,6595.1303140651335,83.39000000000033,1.257396003594719,1.0,1.0,6715.79,S&P 500 (SPX),6734.611379678408,88.80292106580377,2025-12-17 17:31:20
2025-10-03 05:00:00,6722.14,6750.87,6705.67,6715.79,1,16.65,6698.402,6672.907000000001,6668.7825,6698.563004792631,6680.375377345461,6724.110000000001,6724.110000000001,6664.85388888889,6667.066069801431,66.00481118026656,17.79009316318661,9.534295110949746,6668.7825,6741.25600368489,6596.308996315111,51.42999999999938,0.7717170140868648,1.0,1.0,6740.28,S&P 500 (SPX),6734.611379678408,88.80292106580377,2025-12-17 17:31:20
2025-10-06 05:00:00,6733.860000000001,6749.52,6717.78,6740.28,1,16.37,6714.216,6677.56,6674.282307692308,6712.468669861753,6691.267126919012,6735.86,6735.86,6670.315897435898,6670.407242276322,68.91193519100496,21.631435611457164,11.95372321105123,6674.282307692308,6754.204757668873,6594.359857715743,46.529999999999745,0.6951260504201643,1.0,1.0,6714.59,S&P 500 (SPX),6734.611379678408,88.80292106580377,2025-12-17 17:31:20
2025-10-07 05:00:00,6746.14,6754.49,6699.96,6714.59,1,17.240000000000002,6719.442,6683.327,6677.161428571429,6713.175779907836,6695.507649297373,6723.013333333333,6723.013333333333,6674.080000000001,6673.1604280092015,63.23901688723691,22.345177579630217,14.032014084767027,6677.161428571429,6756.913840392068,6597.409016750789,57.67000000000007,0.8663165548031232,1.0,1.0,6753.72,S&P 500 (SPX),6734.611379678408,88.80292106580377,2025-12-17 17:31:20
2025-10-08 05:00:00,6723.87,6755.64,6718.09,6753.72,1,16.3,6727.946000000001,6694.902,6682.265333333333,6726.690519938557,6706.091713061487,6742.483333333334,6742.483333333334,6678.640222222223,6684.6922772292955,67.33485193621877,25.77121271048054,16.379853809909733,6682.265333333333,6768.689405002108,6595.841261664557,115.75,1.7437559976920654,1.0,1.0,6735.110000000001,S&P 500 (SPX),6734.611379678408,88.80292106580377,2025-12-17 17:31:20
2025-10-09 05:00:00,6760.5,6764.58,6716.17,6735.110000000001,1,16.43,6731.897999999999,6707.941000000001,6689.141999999999,6729.497013292373,6711.367765232126,6738.62,6738.62,6682.388958333334,6694.253435698403,60.48427728875855,26.677180830542966,18.43931921403638,6689.141999999999,6774.823344260496,6603.460655739502,130.39000000000033,1.9741942126237044,1.0,1.0,6552.51,S&P 500 (SPX),6734.611379678408,88.80292106580377,2025-12-17 17:31:20
2025-10-10 05:00:00,6740.49,6762.400000000001,6550.78,6552.51,1,21.66,6699.242,6698.822,6681.685333333333,6670.501342194916,6682.484535189921,6621.896666666667,6621.896666666667,6678.830588235294,6686.160819721608,35.60596795890913,12.516589690074397,17.254773309243987,6681.685333333333,6792.416219943727,6570.954446722939,-91.1899999999996,-1.3725785330463387,1.0,1.0,6654.72,S&P 500 (SPX),6734.611379678408,88.80292106580377,2025-12-17 17:31:20
2025-10-13 05:00:00,6622.53,6668.68,6620.71,6654.72,1,19.03,6682.13,6698.173,6679.083333333333,6665.240894796611,6677.436437882662,6648.036666666667,6648.036666666667,6677.119814814815,6685.823829517766,49.80215827338131,9.432974526572252,15.69041355270964,6679.083333333333,6790.4317816942375,6567.7348849724285,-6.489999999999782,-0.09742974624730014,1.0,1.0,6644.31,S&P 500 (SPX),6734.611379678408,88.80292106580377,2025-12-17 17:31:20
2025-10-14 05:00:00,6602.49,6680.7,6555.07,6644.31,1,20.81,6668.0740000000005,6693.758,6678.242666666667,6658.263929864408,6671.413449176724,6626.693333333334,6626.693333333334,6674.465789473685,6684.841266714378,50.57903773791695,6.07911108477947,13.768153059123607,6678.242666666667,6790.494984356177,6565.990348977157,-44.149999999999636,-0.6600921587330961,1.0,1.0,6671.06,S&P 500 (SPX),6734.611379678408,88.80292106580377,2025-12-17 17:31:20
2025-10-15 05:00:00,6688.27,6724.12,6612.110000000001,6671.06,1,20.64,6651.5419999999995,6689.744000000001,6680.448666666666,6662.529286576272,6671.349185690046,6669.096666666667,6669.096666666667,6674.197333333334,6684.539278368175,56.131691807157665,5.516065811752924,12.117735609649472,6680.448666666666,6790.589805177129,6570.307528156203,-40.13999999999942,-0.5981046608654104,1.0,1.0,6629.07,S&P 500 (SPX),6734.611379678408,88.80292106580377,2025-12-17 17:31:20
2025-10-16 05:00:00,6689.02,6709.34,6593.99,6629.07,1,25.310000000000002,6630.334,6681.116,6682.072,6651.376191050848,6663.6620610191285,6644.133333333334,6644.133333333334,6672.765714285715,6682.328874482433,48.65525672371638,1.6624426968537591,10.026677027090331,6682.072,6788.069512962738,6576.074487037262,-86.28000000000065,-1.284817619334817,1.0,1.0,6664.01,S&P 500 (SPX),6734.611379678408,88.80292106580377,2025-12-17 17:31:20
